split,image,word_count,named_feature_count,heuristic_quality_flags,caption_mentions_water,caption_mentions_green,caption_mentions_road,caption_has_relation,blue_ratio,green_ratio,dark_ratio,bright_low_sat_ratio,edge_mean,proxy_issues,proxy_strengths,review_severity,proxy_fidelity_score,description,vlm_alignment_score,vlm_visible_water,vlm_visible_roads,vlm_visible_green_area,vlm_visible_named_label,vlm_unsupported_claims,vlm_omissions,vlm_verdict,vlm_raw_response
MapTrain,16_373.jpg,46,2,no_direction_or_relation;generic_no_feature_claim,False,False,True,False,0.0095,0.4052,0.0,0.5568,11.901,possible_green_omission;generic_no_feature_claim_needs_visual_review;road_caption_lacks_relation,named_feature_present,high,0.510,"The google map shows a section of Adelphia-Farmingdale Road, which runs horizontally across the image. There is a marked location for ""Our House Restaurant and Banquet Facility"" near the road. The surrounding area includes some roads and open spaces, with no additional geographic entities labeled.",0.800,False,True,True,True,,"The map shows a section of Adelphia-Farmingdale Road, which runs horizontally across the image.",partly_supported,"Based on the provided map-image caption, here's my analysis:  {   ""alignment_score"": 0.8,   ""visible_water"": false,   ""visible_roads"": true,   ""visible_green_area"": true,   ""visible_named_label"": true,   ""caption_unsupported_claims"": [],   ""caption_omissions"": [""The map shows a section of Adelphia-Farmingdale Road, which runs horizontally across the image.""],   ""verdict"": ""partly_supported"" }  Explanation: - The alignment score is high because most elements mentioned in the caption are visible o"
MapTrain,16_601.jpg,45,0,no_named_feature;no_direction_or_relation,False,True,True,False,0.0671,0.9035,0.0001,0.0229,8.74,possible_water_omission;road_caption_lacks_relation,green_signal_consistent,medium,0.640,"The google map shows a section of the Robert T. Monagan Freeway, which runs horizontally across the image. There is a thin, light blue line intersecting the freeway, possibly indicating a waterway or road. The background is a light green, suggesting a general land area.",,,,,,,,error,JSONDecodeError: Expecting value: line 1 column 1 (char 0)
MapTrain,16_202.jpg,44,2,no_direction_or_relation;generic_no_feature_claim,False,True,False,False,0.0271,0.9611,0.0,0.0,5.676,possible_water_omission;generic_no_feature_claim_needs_visual_review,named_feature_present;green_signal_consistent,medium,0.690,"The google map shows a light green area with a blue line labeled ""Sunken Branch,"" indicating a waterway. The waterway has a few curves and branches off into smaller streams. The surrounding area appears to be relatively flat, with no additional geographic features marked.",,,,,,,,error,JSONDecodeError: Expecting value: line 1 column 1 (char 0)
MapTrain,16_23.jpg,43,2,no_direction_or_relation;generic_no_feature_claim,False,True,True,False,0.0307,0.9485,0.0,0.0204,5.221,possible_water_omission;generic_no_feature_claim_needs_visual_review,named_feature_present;green_signal_consistent,medium,0.690,"The google map shows a section of ""Hill Rd"" running horizontally. A blue line, likely representing a waterway, runs parallel and slightly above the road. The background is light green, indicating a land area. There are no additional geographic entities or labels visible.",,,,,,,,error,JSONDecodeError: Expecting value: line 1 column 1 (char 0)
MapTrain,16_348.jpg,34,1,no_direction_or_relation;generic_no_feature_claim,False,False,False,False,0.0411,0.007,0.0,0.9537,7.5,possible_water_omission;generic_no_feature_claim_needs_visual_review,named_feature_present;green_signal_consistent,medium,0.690,"The google map shows a location labeled ""Corkum Tree Farm."" There are light blue lines indicating roads or pathways surrounding the area. The map is minimalistic, with no additional geographic features or landmarks visible.",,,,,,,,error,JSONDecodeError: Expecting value: line 1 column 1 (char 0)
MapTrain,16_54.jpg,64,2,no_direction_or_relation;generic_no_feature_claim,True,True,True,False,0.1139,0.8611,0.0,0.0111,8.325,generic_no_feature_claim_needs_visual_review;road_caption_lacks_relation,named_feature_present;water_signal_consistent;green_signal_consistent,medium,0.690,"The google map shows a section of land featuring Neshaminy Creek, which flows in a generally southeast direction. Above the creek, there is a road labeled ""Rte 202"" running horizontally across the map. The surrounding area is shaded in light green, indicating land, with the creek depicted in blue. There are no additional geographic entities or labels visible in this section of the map.",,,,,,,,error,JSONDecodeError: Expecting value: line 1 column 1 (char 0)
MapTrain,16_587.jpg,61,1,no_direction_or_relation;generic_no_feature_claim,False,True,True,False,0.0459,0.9161,0.0001,0.0446,7.746,possible_water_omission;generic_no_feature_claim_needs_visual_review,named_feature_present;green_signal_consistent,medium,0.690,"The google map shows a section of Del Puerto Canyon Road, which runs horizontally across the image. The road is depicted in blue, indicating its path through a light green area, which likely represents surrounding land or terrain. The road has a slight curve, suggesting a winding route. There are no additional geographic entities or labels visible on this map section.",,,,,,,,error,JSONDecodeError: Expecting value: line 1 column 1 (char 0)
MapTrain,16_630.jpg,41,2,no_direction_or_relation;generic_no_feature_claim,True,True,True,False,0.0922,0.0,0.0,0.9015,5.431,green_mention_low_green_signal;generic_no_feature_claim_needs_visual_review,named_feature_present;water_signal_consistent,medium,0.690,"The google map shows a section of a river running vertically through the center. A road labeled ""Shiells Rd"" crosses the river horizontally. The surrounding area appears to be open land or rural, with no additional geographic entities or features marked.",,,,,,,,error,JSONDecodeError: Expecting value: line 1 column 1 (char 0)
MapTrain,16_683.jpg,46,1,no_direction_or_relation;generic_no_feature_claim,False,True,False,False,0.0398,0.9188,0.0,0.0574,9.103,possible_water_omission;generic_no_feature_claim_needs_visual_review,named_feature_present;green_signal_consistent,medium,0.690,"The google map shows a location labeled ""WM - Guadalupe Rubbish Disposal Facility."" It is situated among several intersecting roads. The surrounding area is shaded in green, indicating open or undeveloped land. There are no additional geographic entities or landmarks visible in this section of the map.",,,,,,,,error,JSONDecodeError: Expecting value: line 1 column 1 (char 0)
MapTrain,16_719.jpg,41,1,no_direction_or_relation;generic_no_feature_claim,False,False,False,False,0.6065,0.0264,0.0,0.0146,5.375,possible_water_omission;generic_no_feature_claim_needs_visual_review,named_feature_present;green_signal_consistent,medium,0.690,"The google map shows the Calero Reservoir, depicted in blue, surrounded by beige land areas. The reservoir has an irregular shape with several inlets and extensions. There are no additional geographic entities or labels visible in this section of the map.",,,,,,,,error,JSONDecodeError: Expecting value: line 1 column 1 (char 0)
