split,image,model,embedding_score,proxy_fidelity_score,review_severity,description
MGEval,16_344.jpg,openai/clip-vit-base-patch32,0.352714,1.000,low,"The google map shows a small area with a road labeled ""Ballou Rd"" that branches off into multiple directions. There is a small blue body of water located near the center of the map, surrounded by green areas indicating land. The roads and water body are the primary geographic entities visible."
MGEval,16_353.jpg,openai/clip-vit-base-patch32,0.319365,0.870,medium,"The google map shows a section of a road labeled ""Sterling Oaks Dr"" forming a loop. There is a small body of water to the southwest. The area is predominantly green, indicating open or undeveloped land. A location marked ""Turnkey Builders"" is situated near the road."
MGEval,16_366.jpg,openai/clip-vit-base-patch32,0.335138,1.000,low,"The google map shows a residential area with two labeled streets: Kamer Ct and Covington Dr. The streets form a network with Covington Dr being the main road, and Kamer Ct branching off from it. The surrounding area is shaded in green, indicating open or undeveloped land."
MGEval,16_454.jpg,openai/clip-vit-base-patch32,0.334115,0.870,medium,"The google map shows two parallel roads: Grant Line Rd and Old Indiana 111/Old Hwy 111. There is a business labeled ""Lewis Plumbing"" located near Grant Line Rd. The area appears to be predominantly green, indicating open space or vegetation. A small blue feature, possibly a pond or water body, is situated near Grant Line Rd."
MGEval,16_458.jpg,openai/clip-vit-base-patch32,0.402395,1.000,low,"The google map shows a location labeled ""Mama Lloyd's Boutique & Designs"" situated along Elk Run Trail. The area is surrounded by a light green background, indicating a natural or rural setting. A blue icon marks the boutique's location, and a blue line, possibly representing a river or stream, is visible to the southeast of the boutique. The map includes a few roads or paths, depicted as gray lines."
MGEval,16_639.jpg,openai/clip-vit-base-patch32,0.336343,0.870,medium,"The google map shows a location labeled ""Meyer Meadows New Homes in Sellersburg"" near Jacob Court. A major road, marked as Route 60, runs diagonally across the map. There is a green area indicating open space or parkland to the southwest of Route 60. A small blue area, possibly a body of water, is located to the northeast. The map includes several intersecting streets."
MGEval,16_673.jpg,openai/clip-vit-base-patch32,0.331676,1.000,low,"The google map shows a light green area with a blue line labeled ""Campbell Branch,"" indicating a waterway. The waterway runs vertically and branches off into smaller streams. The surrounding area is not detailed with additional geographic entities."
MGEval,16_72.jpg,openai/clip-vit-base-patch32,0.299894,1.000,low,"The google map shows a section of a waterway labeled ""Silver Creek."" The creek runs vertically through the center of the map. The surrounding area is shaded in light green, indicating land. The map does not display additional geographic entities or features."
MGEval,16_796.jpg,openai/clip-vit-base-patch32,0.311952,0.870,medium,"The google map shows a section of a road network. ""River Ridge Pkwy"" is a prominent road running diagonally across the map. Near this road, there is a location marked as ""Kenco warehouse."" The map includes several other roads and pathways, with some intersecting lines indicating additional routes or boundaries. The layout suggests an area with industrial or commercial facilities."
MGEval,16_808.jpg,openai/clip-vit-base-patch32,0.387485,0.870,medium,"The google map shows a location labeled ""Rivercrest Farm,"" which is marked as temporarily closed. The farm is indicated by a pin on a light blue shape, possibly representing a building or area. The surrounding area is depicted in light green, suggesting open land or fields."
MGEval,16_880.jpg,openai/clip-vit-base-patch32,0.305370,0.870,medium,"The google map shows a section of an area with two roads and a creek. S Rose Island Rd runs vertically, while Spring Dr intersects it horizontally. Pond Creek flows in a curved path, crossing under Spring Dr and running parallel to S Rose Island Rd for a short distance. The surrounding area is shaded in light green, indicating land or vegetation."
MGEval,16_885.jpg,openai/clip-vit-base-patch32,0.287350,1.000,low,"The google map shows a section with two roads labeled Mayo Ln and Mayo Ct. Mayo Ln runs diagonally from the northwest to the southeast, while Mayo Ct branches off Mayo Ln towards the northeast. There is a location marked as ""Second Stride"" near the intersection of these roads. The surrounding area appears to be predominantly green, indicating open or undeveloped land."
MGEval,16_902.jpg,openai/clip-vit-base-patch32,0.350019,1.000,low,"The google map shows a section of two intersecting roads labeled ""Reasor Rd"" and ""Stiller Rd."" Reasor Rd runs horizontally and curves slightly, while Stiller Rd runs vertically, intersecting with Reasor Rd. The surrounding area is shaded in green, indicating a likely rural or undeveloped region."
MGEval,16_928.jpg,openai/clip-vit-base-patch32,0.396537,0.920,medium,"The google map shows a network of roads, including Plum Run Dr and Plum Ridge Dr, which intersect with other unnamed roads. There is a point of interest labeled ""Mis Rae Creations 1"" located near these roads. The map appears to be a simple street layout without additional geographic features."
MGEval,16_998.jpg,openai/clip-vit-base-patch32,0.381626,1.000,low,"The google map shows a light green area with a blue line running diagonally across it, representing a waterway. The location labeled ""Duck Hollow"" is situated near the waterway. The map does not display additional geographic entities or detailed spatial relationships."
MGEval,16_1103.jpg,openai/clip-vit-base-patch32,0.323090,1.000,low,"The google map shows an area with a geographic entity labeled ""Hidden Creek Organic Farms."" To the right, there is a road named ""Utica-Sellersburg Rd."" A water body is visible in the lower left section of the map. The map background is primarily green, indicating a rural or natural area."
MGEval,16_1137.jpg,openai/clip-vit-base-patch32,0.332258,1.000,low,"The google map shows an intersection of two roads: Constantine Dr and Covered Bridge Rd. There are two small bodies of water near the intersection, one to the north and one to the south of Covered Bridge Rd. The area is depicted with a green background, indicating a likely rural or natural setting."
MGEval,16_1144.jpg,openai/clip-vit-base-patch32,0.438895,1.000,low,"The google map shows a section of Buttontown Road running vertically. To the left of the road, ""Faith Harvest Assembly"" is marked, and further down, ""Hooves Healing Hearts"" is indicated. The map uses icons to denote these locations, with a cross symbol for Faith Harvest Assembly. The background is a light green, suggesting a rural or less densely populated area."
MGEval,16_1230.jpg,openai/clip-vit-base-patch32,0.330994,1.000,low,"The google map shows a section of a road network. ""Covered Bridge Rd"" runs horizontally across the map, intersecting with another road labeled ""1694"" at the left side. The surrounding area is shaded in green, indicating a natural or undeveloped area. A smaller, unnamed road branches off from Covered Bridge Rd, curving downward."
MGEval,16_1282.jpg,openai/clip-vit-base-patch32,0.359163,1.000,low,"The google map shows two labeled locations: Hidden Creek Golf Club and LG&E Northside Substation. The golf club is positioned to the north of the substation. The background is predominantly green, indicating a natural or park-like area. There are no visible roads or additional geographic features marked on this section of the map."
MGEval,16_1340.jpg,openai/clip-vit-base-patch32,0.345788,1.000,low,"The google map shows a section of Navilleton Road running vertically. To the left of the road, there is a label for Jacobi Oil Service, which is marked with an icon. A small water body is also visible near the label. The map is minimal, focusing on this specific area and its immediate surroundings."
MGEval,16_143.jpg,openai/clip-vit-base-patch32,0.314993,1.000,low,"The google map shows a section of a residential area with two main roads labeled Southern Hills Dr and Lakeview Dr. Southern Hills Dr runs in a curved path from the southwest to the northeast, while Lakeview Dr branches off from it, extending to the east. There is a small body of water located in the southwest corner of the map. The surrounding area is primarily green, indicating vegetation or open space."
MGEval,16_1490.jpg,openai/clip-vit-base-patch32,0.316443,1.000,low,"The google map shows a body of water in the center, surrounded by light green areas indicating land. There are roads labeled ""Quarry Ridge Rd"" and ""Boulder Pass"" to the south of the water. The roads appear to curve around the landscape, suggesting a hilly or uneven terrain."
MGEval,16_1499.jpg,openai/clip-vit-base-patch32,0.354657,1.000,low,"The google map shows a network of roads. Cedar Ridge Ct runs in a generally north-south direction, while Chestnut Hill Dr intersects it and extends in a southeast-northwest direction. The roads appear to be part of a residential area, with several smaller connecting roads branching off."
MGEval,16_1536.jpg,openai/clip-vit-base-patch32,0.296740,0.920,medium,"The google map shows a road labeled ""White Tail Way"" that curves from the bottom center to the top right corner. The surrounding area is shaded green, indicating a park or forested region. There is a small blue shape near the top right, suggesting a pond or small body of water."
MGEval,16_157.jpg,openai/clip-vit-base-patch32,0.396261,1.000,low,"The google map shows a section of a light blue waterway labeled ""Silver Creek"" running horizontally across a light green background, which likely represents land. There is a gray line, possibly a road or path, running parallel to the creek at the bottom of the map. The creek appears to have a gentle curve."
MGEval,16_158.jpg,openai/clip-vit-base-patch32,0.367833,1.000,low,"The google map shows a section of a light green area with a blue line representing Silver Creek running through it. Perry Crossing Road is depicted as a gray line crossing the creek. The creek flows in a generally north-south direction, while the road runs east-west."
MGEval,16_1658.jpg,openai/clip-vit-base-patch32,0.321712,1.000,low,"The google map shows a section of land featuring a creek labeled ""Little Indian Creek"" running vertically through the center. To the right of the creek is a road labeled ""St Marys Rd."" The map area is primarily green, indicating a natural or rural setting. The creek and road run parallel to each other."
MGEval,16_1766.jpg,openai/clip-vit-base-patch32,0.347249,1.000,low,"The google map shows a light green area with a road labeled ""St Marys Rd"" running vertically. A waterway named ""Crooked Run"" is depicted curving through the area. There is a small blue feature, possibly a pond, located towards the bottom of the map. The map includes some intersecting lines, likely representing additional roads or paths."
MGEval,16_1883.jpg,openai/clip-vit-base-patch32,0.340750,1.000,low,"The google map shows a section of a road network. Green Valley Rd runs vertically on the right side. Cheryl Dr intersects Green Valley Rd and extends to the left, where it connects with Miede Dr, which curves upwards. The area is predominantly green, indicating open space or vegetation."
MGEval,16_189.jpg,openai/clip-vit-base-patch32,0.360093,1.000,low,"The google map shows a section of a road network with Perry Crossing Road running in a north-south direction. Anson Branch, a waterway, crosses the road. The surrounding area appears to be lightly populated with a few smaller roads branching off. The map is set against a light green background, indicating a natural or rural area."
MGEval,16_1959.jpg,openai/clip-vit-base-patch32,0.328528,1.000,low,"The google map shows a section of a road network. Oaklea Drive runs vertically through the center, intersecting with S Camden Lane at the top. The area is surrounded by a green space, indicating vegetation or undeveloped land. There is a small blue area in the top right corner, possibly representing a body of water."
MGEval,16_1997.jpg,openai/clip-vit-base-patch32,0.311970,1.000,low,"The google map shows a section of a road network with two labeled roads: Spickert Knob Rd and Overlook Trace. Spickert Knob Rd runs horizontally across the map, curving slightly, while Overlook Trace intersects it from the right. The surrounding area is shaded in green, indicating a natural or undeveloped region."
MGEval,16_2040.jpg,openai/clip-vit-base-patch32,0.311242,1.000,low,"The google map shows a section of land bordered by Harrods Creek. Key features include a ""Tennis Court and Parking Lot"" located near the top left, accessible via Deer Ridge Road. A ""Grassy Field"" is situated to the southeast, adjacent to a small body of water. The creek curves around the area, forming a natural boundary."
MGEval,16_2087.jpg,openai/clip-vit-base-patch32,0.338856,1.000,low,"The google map shows a section of Georgetown Greenville Road running in a generally north-south direction. To the east of the road is Richland Creek, which flows in a roughly parallel direction. The area surrounding these features is depicted in a light green color, indicating land or vegetation."
MGEval,16_225.jpg,openai/clip-vit-base-patch32,0.344653,1.000,low,"The google map shows a light green area with a blue line representing a waterway running diagonally from the top left to the center. There is a small blue shape in the bottom left corner, possibly a pond or lake. A gray line, likely a road, runs from the top center to the right side. A location marked ""Adam Farm Services"" is situated near the top center of the map."
MGEval,16_2276.jpg,openai/clip-vit-base-patch32,0.338628,0.920,medium,"The google map shows a coastal area with a body of water to the west. ""Juniper Beach Rd"" runs parallel to the coastline. The ""Limestone Bay Club"" is marked near the northern part of the map. Several smaller roads intersect with Juniper Beach Rd, and the area appears to be lightly developed with a few structures or landmarks."
MGEval,16_229.jpg,openai/clip-vit-base-patch32,0.292864,1.000,low,"The google map shows a section of a geographic area with a creek labeled ""Silver Creek"" running diagonally from the northwest to the southeast. To the east of the creek, there is a major highway labeled ""I-65"" running vertically. The background is a light green color, indicating land or a general area."
MGEval,16_2445.jpg,openai/clip-vit-base-patch32,0.337808,1.000,low,"The google map shows two intersecting roads: Commonwealth Dr and Boones Trce. Commonwealth Dr runs vertically, while Boones Trce runs horizontally. The area surrounding the roads is shaded green, indicating a possible park or wooded area. There is a small blue shape in the lower right corner, which may represent a body of water."
MGEval,16_2462.jpg,openai/clip-vit-base-patch32,0.311856,1.000,low,"The google map shows a section of land with a road labeled ""Seneca Dr NE"" running vertically. To the left of the road is a waterway labeled ""Indian Creek."" There is a point of interest marked as ""English Springer Spaniel Breeding and..."" located near Seneca Dr NE. The area appears to be primarily green, indicating open or undeveloped land."
MGEval,16_2479.jpg,openai/clip-vit-base-patch32,0.317745,1.000,low,"The google map shows a section of Edwardsville Galena Road running vertically. To the right of the road is Timbers Drive, which intersects with it. On the left side of Edwardsville Galena Road, there is a small, elongated body of water. The surrounding area is depicted in green, indicating a likely natural or undeveloped region."
MGEval,16_2493.jpg,openai/clip-vit-base-patch32,0.349830,1.000,low,"The google map shows a section of a rural area with a road labeled ""Binford Rd"" running horizontally. There are small bodies of water visible in the lower left and upper left corners. A location labeled ""Ridgeview Animal Clinic"" is situated near the top right. The surrounding area is predominantly green, indicating open or undeveloped land."
MGEval,16_2527.jpg,openai/clip-vit-base-patch32,0.351442,0.920,medium,"The google map shows a section of land with a waterway on the right side. A road labeled ""Port Rd"" runs parallel to the waterway. There is a marked location labeled ""Consolidated Grain and Barge Co"" near the road. The map includes some linear features, possibly representing rail lines, running parallel to the road and waterway."
MGEval,16_2574.jpg,openai/clip-vit-base-patch32,0.386775,1.000,low,"The google map shows a section of a road labeled ""1818"" running horizontally. Near the road, there is a location marked ""Zion Hill Events"" with an icon indicating an event venue. There are small bodies of water depicted in blue to the north and southwest of the road. The surrounding area is shaded in green, indicating land or vegetation."
MGEval,16_2666.jpg,openai/clip-vit-base-patch32,0.276544,1.000,low,"The google map shows a light green area indicating a natural or park region, with a blue line representing a river or stream running through it. There are several gray lines depicting roads or pathways. A labeled point, ""Eric Roland,"" is marked with a location pin in the lower central part of the map. The spatial relationship shows the river flowing from the upper right to the lower left, with roads intersecting the area."
MGEval,16_2703.jpg,openai/clip-vit-base-patch32,0.316496,1.000,low,"The google map shows a section of a road network. W Mt Zion Rd intersects with Rte 2858 and continues towards a junction with road 1818. The area surrounding the roads is shaded in green, indicating open or undeveloped land."
MGEval,16_2721.jpg,openai/clip-vit-base-patch32,0.383958,1.000,low,"The google map shows a light green area with a small blue shape, likely representing a body of water, located near a curved gray line, which may indicate a road or path. The label ""Taylor Cattle Farm"" is positioned near the top of the map, with a marker indicating its location close to the gray line."
MGEval,16_2728.jpg,openai/clip-vit-base-patch32,0.303991,1.000,low,"The google map shows a section of a geographic area featuring a creek labeled ""Indian Creek"" running in a generally north-south direction. A road labeled ""64"" crosses the creek horizontally. Another road, ""Cabin Ridge NE,"" runs vertically and intersects with road 64. The surrounding area is shaded in green, indicating land or vegetation."
MGEval,16_2902.jpg,openai/clip-vit-base-patch32,0.330381,0.920,medium,"The google map shows a light green area with two parallel blue lines at the top, likely representing a road or railway. Below these lines, there is a label ""Magic irrigation time"" with a marker. A light gray line runs horizontally near the label, possibly indicating a path or smaller road. Another gray line branches off to the right, forming a rectangular shape."
MGEval,16_308.jpg,openai/clip-vit-base-patch32,0.312712,1.000,low,"The google map shows a section of Allentown Road running horizontally. There are two small bodies of water, one near the center and another larger one to the right. The area is surrounded by light green, indicating land or open space. There are a few intersecting roads branching off Allentown Road."
MGEval,16_3289.jpg,openai/clip-vit-base-patch32,0.337476,1.000,low,"The google map shows a section where Aiken Road and Hebron Road intersect. There are two small bodies of water nearby, one to the northwest and another to the southeast. A location labeled ""SmartGrass"" is situated along Aiken Road, near the intersection with Hebron Road. The surrounding area appears to be green, indicating vegetation or open land."
MGEval,16_3323.jpg,openai/clip-vit-base-patch32,0.346791,1.000,low,"The google map shows a light green area with a small blue body of water in the upper right section. A road runs horizontally across the map, labeled ""Dulcimer Chautaugua On,"" with an icon indicating a point of interest. A thin blue line, possibly a stream or river, runs parallel to the road in the lower part of the map."
MGEval,16_342.jpg,openai/clip-vit-base-patch32,0.340137,1.000,low,"The google map shows a section of a road network with two main roads: St John Rd and Kruer Rd. St John Rd runs horizontally, intersecting with Kruer Rd, which runs vertically. The surrounding area is shaded in light green, indicating open or undeveloped land. There is a small blue area in the bottom right corner, possibly representing a body of water."
MGEval,16_3479.jpg,openai/clip-vit-base-patch32,0.379428,1.000,low,"The google map shows a section of the Ohio River, with a parking area labeled ""Ohio River Greenway Parking"" located to the north of the river. The river flows horizontally across the map. There are some roads and pathways visible near the parking area, indicating infrastructure along the riverbank."
MGEval,16_357.jpg,openai/clip-vit-base-patch32,0.321351,0.920,medium,"The google map shows a section of a light green area with a blue line labeled ""Elk Run"" running diagonally from the southwest to the northeast. To the right, there is a vertical gray line representing a highway, labeled ""I-65."" There are also a few faint gray lines indicating smaller roads or paths to the left of Elk Run."
MGEval,16_360.jpg,openai/clip-vit-base-patch32,0.397653,1.000,low,"The google map shows a section of a geographic area with a north-south road labeled ""31"" on the left side. A smaller road, ""Weber Rd,"" intersects with this main road. A waterway named ""Silver Creek"" runs horizontally across the map, crossing under the main road. The area is depicted with light green shading, indicating land, and blue lines for the creek."
MGEval,16_446.jpg,openai/clip-vit-base-patch32,0.412395,1.000,low,"The google map shows two roads: Atkins Rd and Wieska Knob Rd. Atkins Rd runs horizontally near the top of the map with a slight curve, while Wieska Knob Rd runs horizontally across the middle. The roads are set against a green background, indicating a rural or undeveloped area."
MGEval,16_491.jpg,openai/clip-vit-base-patch32,0.343678,1.000,low,"The google map shows a section of a road network with three main roads: Head Rd, Engle Rd, and Scottsville Rd. Head Rd runs horizontally, intersecting with Engle Rd, which runs vertically. Scottsville Rd is positioned to the right, running vertically and parallel to Engle Rd. There are small bodies of water located to the right of Scottsville Rd. The area is depicted with a light green background, indicating land."
MGEval,16_494.jpg,openai/clip-vit-base-patch32,0.343490,1.000,low,"The google map shows a section of a road labeled ""Starlight Rd"" running vertically. There are a few smaller roads branching off to the right. A small blue area, possibly representing a body of water, is located to the left of Starlight Rd. The surrounding area is shaded in light green, indicating open space or undeveloped land."
MGEval,16_510.jpg,openai/clip-vit-base-patch32,0.303363,1.000,low,"The google map shows a section of Grant Line Road running vertically on the left side. There is a small body of water, possibly a pond, located to the left of the road. Several thin lines, likely representing smaller roads or paths, intersect the area, with one crossing Grant Line Road. The background is a light green, indicating open or undeveloped land."
MGEval,16_512.jpg,openai/clip-vit-base-patch32,0.345336,1.000,low,"The google map shows a location labeled ""Epoxy artful countertops"" near Honeysuckle Way. There are roads depicted, with Honeysuckle Way running diagonally from the top left to the bottom center. A small waterway is visible at the bottom of the map. The surrounding area is shaded green, indicating vegetation or open space."
MGEval,16_54.jpg,openai/clip-vit-base-patch32,0.355987,1.000,low,"The google map shows a section of a rural area with two roads: Wilson Switch Rd running vertically and Roy Jackson Ln intersecting it horizontally near the top. There is a small body of water to the left of Wilson Switch Rd and a curving waterway to the right. The surrounding area is predominantly green, indicating vegetation or open land."
MGEval,16_620.jpg,openai/clip-vit-base-patch32,0.393174,1.000,low,"The google map shows a location marked as ""Mountain Produce"" at the intersection of Banet Rd and Emmons Ln. Fosskuhl Rd runs parallel to Emmons Ln. A blue line, likely representing a river or stream, runs near the right side of the map, curving around the area. The map background is green, indicating a rural or natural setting."
MGEval,16_706.jpg,openai/clip-vit-base-patch32,0.349191,1.000,low,"The google map shows a light green area with two small blue shapes, likely representing bodies of water. In the upper part of the map, there is a label for ""The Pumpkin Shed,"" which is marked as temporarily closed. The map includes a light gray line, possibly indicating a road or path, running diagonally in the upper right corner."
MGEval,16_707.jpg,openai/clip-vit-base-patch32,0.310152,1.000,low,"The google map shows a section of a road labeled ""60"" running diagonally from the bottom left to the top right. Another road, ""Poindexter Ln,"" intersects with it. There is a small blue area, possibly indicating water, near the intersection. A green area is visible on the left side, suggesting a park or forested region. A location marked ""Summer Crawford Design"" is near the intersection."
MGEval,16_844.jpg,openai/clip-vit-base-patch32,0.315402,1.000,low,"The google map shows two roads, Fairview Knob Rd and N Skyline Dr, intersecting in a green area. The roads are depicted as light gray lines, with Fairview Knob Rd running horizontally and N Skyline Dr approaching from the bottom left. The surrounding area is shaded green, indicating a natural or undeveloped region."
