Model,Mode,Prompt,Condition,Attempts,Best score,Best passed,Execution
qwen2.5-coder_7b,rules,C012_time_series_report,initial,1,0.400,2/5,False
qwen2.5-coder_7b,rules,C012_time_series_report,repair_by_qwen2.5-coder_32b,1,0.400,2/5,False
validator_repair_reference,validator,C001_static_burned_area,initial,1,1.000,4/4,True
validator_repair_reference,validator,C002_static_number_fires,initial,1,1.000,4/4,True
validator_repair_reference,validator,C003_static_full_layout,initial,1,1.000,6/6,True
validator_repair_reference,validator,C004_missing_crs_repair,initial,1,1.000,7/7,True
validator_repair_reference,validator,C005_geometry_repair,initial,1,1.000,7/7,True
validator_repair_reference,validator,C006_join_diagnostics,initial,1,1.000,6/6,True
validator_repair_reference,validator,C007_wrong_column_guard,initial,1,1.000,5/5,True
validator_repair_reference,validator,C008_quantile_classes,initial,1,1.000,5/5,True
validator_repair_reference,validator,C009_colorblind_safe,initial,1,1.000,6/6,True
validator_repair_reference,validator,C010_interactive_tooltips,initial,1,1.000,4/4,True
validator_repair_reference,validator,C011_static_and_interactive,initial,1,1.000,6/6,True
validator_repair_reference,validator,C012_time_series_report,initial,1,1.000,5/5,True
